month,crimes,topo_captured,topo_coverage,topo_nodes,topo_density,greedy_captured,greedy_coverage,greedy_nodes,greedy_density,bfs_captured,bfs_coverage,bfs_nodes,bfs_density,bfs_budget,delta_greedy_captured,delta_greedy_coverage_pts,delta_bfs_captured,delta_bfs_coverage_pts
2024-01,8289,832,0.10037,251,3.3147,841,0.10146,260,3.2346,652,0.07866,260,2.5077,13,-9,-0.109,180,2.172
2024-02,8552,974,0.11389,338,2.8817,841,0.09834,340,2.4735,638,0.0746,340,1.8765,17,133,1.555,336,3.929
2024-03,8913,990,0.11107,387,2.5581,859,0.09638,380,2.2605,658,0.07382,380,1.7316,19,131,1.47,332,3.725
2024-04,8762,960,0.10956,335,2.8657,931,0.10625,340,2.7382,656,0.07487,340,1.9294,17,29,0.331,304,3.47
2024-05,9667,1068,0.11048,323,3.3065,988,0.1022,320,3.0875,719,0.07438,320,2.2469,16,80,0.828,349,3.61
2024-06,10321,1169,0.11326,334,3.5,1118,0.10832,340,3.2882,807,0.07819,340,2.3735,17,51,0.494,362,3.507
2024-07,10939,1367,0.12497,423,3.2317,1253,0.11454,420,2.9833,880,0.08045,420,2.0952,21,114,1.042,487,4.452
2024-08,10433,1685,0.16151,693,2.4315,1536,0.14723,700,2.1943,1096,0.10505,700,1.5657,35,149,1.428,589,5.646
2024-09,10064,1384,0.13752,574,2.4111,1276,0.12679,580,2.2,882,0.08764,580,1.5207,29,108,1.073,502,4.988
2024-10,10093,1219,0.12078,390,3.1256,1123,0.11127,400,2.8075,801,0.07936,400,2.0025,20,96,0.951,418,4.141
2024-11,8662,1069,0.12341,437,2.4462,936,0.10806,440,2.1273,696,0.08035,440,1.5818,22,133,1.535,373,4.306
2024-12,8403,1155,0.13745,544,2.1232,1145,0.13626,540,2.1204,782,0.09306,540,1.4481,27,10,0.119,373,4.439
2025-01,7665,837,0.1092,279,3.0,760,0.09915,280,2.7143,596,0.07776,280,2.1286,14,77,1.005,241,3.144
2025-02,6840,887,0.12968,275,3.2255,804,0.11754,280,2.8714,641,0.09371,280,2.2893,14,83,1.213,246,3.596
2025-03,7674,784,0.10216,252,3.1111,810,0.10555,260,3.1154,565,0.07363,260,2.1731,13,-26,-0.339,219,2.854
2025-04,7835,1045,0.13338,383,2.7285,987,0.12597,380,2.5974,725,0.09253,380,1.9079,19,58,0.74,320,4.084
2025-05,8650,1001,0.11572,293,3.4164,953,0.11017,300,3.1767,721,0.08335,300,2.4033,15,48,0.555,280,3.237
2025-06,8961,1122,0.12521,348,3.2241,1010,0.11271,340,2.9706,760,0.08481,340,2.2353,17,112,1.25,362,4.04
2025-07,9580,1423,0.14854,524,2.7156,1367,0.14269,520,2.6288,997,0.10407,520,1.9173,26,56,0.585,426,4.447
2025-08,9000,1291,0.14344,479,2.6952,1123,0.12478,480,2.3396,852,0.09467,480,1.775,24,168,1.867,439,4.878
2025-09,8274,1090,0.13174,406,2.6847,1028,0.12424,400,2.57,758,0.09161,400,1.895,20,62,0.749,332,4.013
2025-10,8772,1313,0.14968,522,2.5153,1214,0.13839,520,2.3346,870,0.09918,520,1.6731,26,99,1.129,443,5.05
2025-11,7692,964,0.12533,342,2.8187,926,0.12038,340,2.7235,685,0.08905,340,2.0147,17,38,0.494,279,3.627
2025-12,7350,842,0.11456,253,3.3281,809,0.11007,260,3.1115,617,0.08395,260,2.3731,13,33,0.449,225,3.061
